epoch,loss,accuracy,val_loss,val_accuracy,sparse_categorical_crossentropy
1,2.3210636043548583,0.0775,2.3202820089128284,0.09548611,2.3042932
2,2.3193410205841065,0.10625,2.3185804155137806,0.09375,2.3033571
3,2.318435020446777,0.09875,2.3175473478105335,0.104166664,2.3032012
4,2.314001579284668,0.12,2.318824185265435,0.098958336,2.299456
5,2.3131652736663817,0.11125,2.3202322986390858,0.104166664,2.2992442
6,2.3163419151306153,0.1025,2.3164197074042425,0.097222224,2.302982
7,2.307182331085205,0.12,2.3256671693589954,0.098958336,2.2943368
8,2.307702884674072,0.11375,2.315749102168613,0.11111111,2.295327
9,2.3065089702606203,0.08625,2.31790382332272,0.11111111,2.2945619
10,2.30100492477417,0.1225,2.3220618300967746,0.125,2.2894394
11,2.289730501174927,0.11,2.3311185704337225,0.15104167,2.2784994
12,2.2608273601531983,0.12125,2.3403083880742392,0.09201389,2.2498798
13,2.2210517597198485,0.185,2.4074773920906916,0.041666668,2.210335
14,2.1969528579711914,0.2,2.4261283344692655,0.045138888,2.186423
15,2.1744896841049193,0.205,2.4673866166008844,0.07986111,2.164125
16,2.103639831542969,0.2275,2.510214845339457,0.112847224,2.0934105
17,2.0540947008132933,0.2775,2.7282154824998646,0.081597224,2.0439804
18,2.0649811363220216,0.2425,2.59867529074351,0.104166664,2.0549717
19,1.976268663406372,0.295,2.762614885965983,0.13194445,1.9663436
20,1.8993262481689452,0.31375,2.963613642586602,0.114583336,1.8894688
21,1.8758377265930175,0.3175,3.0783623589409723,0.1267361,1.8660372
22,1.8872026491165161,0.33375,2.99871297677358,0.15104167,1.8774562
23,1.8819951009750366,0.33625,2.9654952155219183,0.140625,1.8722917
24,1.8666917943954469,0.335,3.072248339653015,0.109375,1.8570323
25,1.7777030181884765,0.3625,3.0819877915912204,0.078125,1.7680768
26,1.7921201944351197,0.3725,3.18385812971327,0.10069445,1.782513
27,1.7071151876449584,0.3825,3.316051999727885,0.140625,1.6975156
28,1.6345982027053834,0.42375,3.4333099789089627,0.07118055,1.6250094
29,1.6836004781723022,0.40625,3.4032950401306152,0.090277776,1.6740113
30,1.585542883872986,0.44,3.6491755644480386,0.06944445,1.5759592
31,1.5985601377487182,0.44875,3.479532731903924,0.048611112,1.5889686
32,1.604094886779785,0.46125,3.4677079121271768,0.10069445,1.5944998
33,1.5965826320648193,0.44125,3.613006247414483,0.104166664,1.5869824
34,1.4509226751327515,0.49875,3.7247622542911105,0.065972224,1.4413147
35,1.5293912506103515,0.45875,3.6003178887897067,0.078125,1.5197694
36,1.414457278251648,0.48,4.045634243223402,0.09201389,1.4048173
37,1.4018666076660156,0.4925,3.988149232334561,0.067708336,1.3922015
38,1.4753616094589233,0.49625,3.77639373143514,0.083333336,1.4656689
39,1.4507985544204711,0.51375,3.8217624955707126,0.08506945,1.4410895
40,1.3207949590682984,0.5425,4.207188698980543,0.07986111,1.311065
41,1.3753325080871581,0.52875,4.0120699008305865,0.06423611,1.3655746
42,1.3145886659622192,0.56,4.116175466113621,0.09375,1.3048054
43,1.3363187074661256,0.545,4.152567148208618,0.11111111,1.3265109
44,1.287182183265686,0.54125,4.456090927124023,0.055555556,1.2773466
45,1.2872195053100586,0.5575,4.208840012550354,0.083333336,1.27735
46,1.2568494701385498,0.56875,4.395116911994086,0.08680555,1.2469418
47,1.2545592260360718,0.56,4.198769913779365,0.09375,1.2446209
48,1.2141450071334838,0.57625,4.483057075076633,0.090277776,1.2041706
49,1.1455958485603333,0.585,4.634889642397563,0.11111111,1.1355853
50,1.1644114637374878,0.59125,4.657213727633159,0.09201389,1.1543635
51,1.1238962006568909,0.595,4.822096824645996,0.10763889,1.1138086
52,1.0956062936782838,0.62875,4.6837749348746405,0.083333336,1.0854868
53,1.1304751110076905,0.60625,4.903972533014086,0.09375,1.1203169
54,1.0704659986495972,0.62875,4.8185924424065485,0.10763889,1.0602738
55,1.0718801426887512,0.63875,4.732295089297825,0.10763889,1.0616486
56,1.0434003806114196,0.64625,5.029133293363783,0.09548611,1.0331304
57,0.9988486790657043,0.68,5.141812801361084,0.09548611,0.98853666
