epoch,loss,accuracy,val_loss,val_accuracy,sparse_categorical_crossentropy
1,10.388322982788086,0.1025,10.098118993971083,0.10069445,2.3025014
2,9.841881141662597,0.0875,9.570479181077745,0.10069445,2.3025305
3,9.330979690551757,0.105,9.078235626220703,0.10069445,2.302193
4,8.854644012451171,0.1,8.619311915503609,0.07986111,2.30186
5,8.410823097229004,0.10125,8.191099378797743,0.109375,2.3020072
6,7.996909694671631,0.10125,7.791487402386135,0.07118055,2.3024523
7,7.609184093475342,0.1075,7.418629169464111,0.11111111,2.3014202
8,7.249013023376465,0.10625,7.07036468717787,0.104166664,2.3020883
9,6.912140216827392,0.10625,6.74522344271342,0.104166664,2.302274
10,6.597409934997558,0.1075,6.4416599538591175,0.104166664,2.3021462
11,6.303938198089599,0.085,6.158474683761597,0.14930555,2.3023293
12,6.029630680084228,0.11125,5.894250869750977,0.104166664,2.3020346
13,5.774154624938965,0.0975,5.647711859809028,0.13194445,2.3021612
14,5.535880832672119,0.08,5.417739656236437,0.14756945,2.302413
15,5.313087387084961,0.15375,5.203372981813219,0.098958336,2.3020563
16,5.105878925323486,0.11625,5.003610531489055,0.104166664,2.3021753
17,4.912786178588867,0.17375,4.817392004860772,0.0625,2.3022895
18,4.73251091003418,0.1675,4.643948237101237,0.057291668,2.3020303
19,4.565043411254883,0.13375,4.482380072275798,0.098958336,2.3022153
20,4.408798522949219,0.1075,4.332024574279785,0.098958336,2.3021455
21,4.263480930328369,0.10625,4.192088339063856,0.09548611,2.3021488
22,4.128442039489746,0.14125,4.061908721923828,0.10243055,2.3022637
23,4.00257981300354,0.10875,3.940861622492472,0.098958336,2.3021774
24,3.885925168991089,0.1025,3.8283195760515003,0.098958336,2.3024588
25,3.7769702243804932,0.1225,3.723706430859036,0.098958336,2.3021114
26,3.6762108993530274,0.0925,3.626545058356391,0.098958336,2.302374
27,3.5824281978607178,0.1025,3.536301188998752,0.10763889,2.3023784
28,3.4954540061950685,0.0825,3.452504422929552,0.098958336,2.3025002
29,3.414239740371704,0.10375,3.3747915824254355,0.098958336,2.3021905
30,3.3395979309082033,0.10625,3.302622742123074,0.098958336,2.3026059
31,3.2701438426971436,0.0975,3.2356445524427624,0.098958336,2.3028
32,3.2052332973480224,0.10875,3.173492948214213,0.098958336,2.3024735
33,3.145156774520874,0.1,3.115889072418213,0.104166664,2.302292
34,3.0897786045074462,0.10625,3.062481270896064,0.098958336,2.3024392
35,3.0384372901916503,0.085,3.013026820288764,0.12847222,2.302571
36,2.9905494117736815,0.09875,2.967214822769165,0.104166664,2.302407
37,2.946883296966553,0.09,2.9247152275509305,0.104166664,2.3029597
