epoch,loss,accuracy,val_loss,val_accuracy,sparse_categorical_crossentropy
81,1.9135856199264527,0.56375,1.9905690956115722,0.595,1.2299995
82,1.8935537576675414,0.57625,1.9798276376724244,0.545,1.2064942
83,1.879717936515808,0.6075,2.020519895553589,0.595,1.1959246
84,1.9285239934921266,0.5575,2.1114578151702883,0.455,1.2432401
85,1.970393476486206,0.54375,1.9973705863952638,0.585,1.2709715
86,1.9213888072967529,0.56375,1.997350902557373,0.56,1.2274929
87,1.9112192916870117,0.58625,1.961806116104126,0.55,1.2262771
88,1.871923794746399,0.61125,1.9600821495056153,0.575,1.1843486
89,1.8625110149383546,0.58125,1.9597946548461913,0.585,1.1741211
90,1.8605265855789184,0.625,1.975481767654419,0.555,1.1733389
91,1.9038793659210205,0.58375,1.9894585132598877,0.615,1.2123091
92,1.9137628889083862,0.58,2.0165564727783205,0.585,1.2192079
93,1.8848745489120484,0.57875,1.9877799987792968,0.525,1.1894077
94,1.8571898746490478,0.585,1.937008728981018,0.58,1.1619793
95,1.8260403966903687,0.6025,1.9414488172531128,0.57,1.1393205
96,1.8343495416641236,0.61125,1.96187105178833,0.595,1.1481379
97,1.881977162361145,0.595,2.019666166305542,0.515,1.190618
98,1.916749415397644,0.59375,2.0135137128829954,0.555,1.2208719
99,1.8506114292144775,0.58,1.933093786239624,0.595,1.154336
100,1.8759343528747559,0.62,1.9473346853256226,0.605,1.1893773
