epoch,loss,accuracy,val_loss,val_accuracy
0,2.296013365,0.18625,2.002949688,0.23958333
1,1.988870783,0.27625,1.815946519,0.31944445
2,1.795317583,0.34375,1.745615178,0.3472222
3,1.828343544,0.3375,1.722345425,0.34895834
4,1.66713316,0.37,1.685861329,0.3611111
5,1.652089877,0.39625,1.593580703,0.4045139
6,1.640782471,0.41,1.693879803,0.38194445
7,1.632352567,0.41875,1.637974805,0.4184028
8,1.572661095,0.425,1.607449379,0.4097222
9,1.60559689,0.43,1.595878356,0.41145834
10,1.60702024,0.40625,1.599957354,0.4079861
11,1.563768058,0.45125,1.726364884,0.3888889
12,1.502011895,0.4725,1.675595681,0.3888889
13,1.477906098,0.4875,1.656969965,0.44444445
14,1.491737051,0.49125,1.53523471,0.43229166
15,1.441106253,0.50625,1.512005647,0.4513889
16,1.47149662,0.48125,1.513780283,0.47916666
17,1.36906662,0.54375,1.526923544,0.4670139
18,1.429416184,0.48,1.656929976,0.4045139
19,1.483524184,0.49375,1.529471788,0.4565972
20,1.403137875,0.50625,1.575959219,0.42708334
21,1.415277338,0.50375,1.520312568,0.453125
22,1.377929354,0.5225,1.47835964,0.4826389
23,1.355584846,0.51875,1.504858812,0.4565972
24,1.334063077,0.55,1.469772173,0.4809028
25,1.352994318,0.525,1.456923697,0.49479166
26,1.333077164,0.54125,1.443813609,0.49131945
27,1.366240935,0.53125,1.435055825,0.4878472
28,1.307712371,0.5325,1.434753239,0.5086806
29,1.271824293,0.56125,1.384853959,0.515625
30,1.323345304,0.54375,1.458335261,0.4861111
31,1.324822869,0.535,1.423609813,0.4809028
32,1.260825019,0.5975,1.426277253,0.47569445
33,1.29644681,0.535,1.416309218,0.49305555
34,1.267278433,0.56875,1.39672329,0.5069444
35,1.248060241,0.57125,1.438784228,0.5069444
36,1.187720473,0.6,1.42557621,0.515625
37,1.250145726,0.55875,1.367220759,0.515625
38,1.221548498,0.57375,1.405208826,0.5052083
39,1.229870627,0.56,1.390049623,0.5017361
40,1.203817759,0.5875,1.401888907,0.4826389
41,1.242238681,0.5675,1.44504413,0.47743055
42,1.244689038,0.57125,1.378611419,0.5277778
43,1.184003835,0.595,1.408174607,0.49479166
44,1.173853676,0.605,1.388340844,0.5225694
45,1.224021626,0.565,1.336845928,0.515625
46,1.191191595,0.59125,1.396145695,0.5017361
47,1.189372439,0.59125,1.373752435,0.515625
48,1.232392826,0.57625,1.396439612,0.5
49,1.155707104,0.5875,1.348550591,0.5208333
50,1.132620678,0.6075,1.345278217,0.5277778
51,1.134579053,0.5975,1.393727806,0.5104167
52,1.217803903,0.56375,1.4914668,0.4878472
53,1.082400088,0.635,1.37274304,0.5086806
54,1.133561573,0.62375,1.392793129,0.5121528
55,1.166167767,0.5875,1.403884272,0.4965278
56,1.150773556,0.5975,1.419819507,0.49305555
57,1.124063725,0.605,1.353782892,0.5190972
58,1.123975947,0.59,1.381139888,0.5260417
59,1.130568707,0.61875,1.345233387,0.5416667
60,1.080249202,0.6275,1.33986741,0.5329861
61,1.068629017,0.62125,1.330266946,0.5381944
62,1.046829069,0.63375,1.387550321,0.4965278
63,1.069003644,0.63,1.349466612,0.5173611
64,1.065223095,0.62625,1.332411872,0.5277778
65,1.12134037,0.62,1.385659556,0.5121528
66,1.050723958,0.63875,1.366635369,0.5086806
67,1.085767481,0.62,1.394744641,0.49479166
68,1.163345571,0.5975,1.402881589,0.49305555
69,1.125750432,0.59375,1.369403846,0.5260417
70,1.156402795,0.57625,1.401951068,0.5069444
71,1.069128489,0.635,1.330174108,0.5190972
72,1.07941987,0.6025,1.352711472,0.5034722
73,1.077174599,0.63625,1.30734898,0.5208333
74,1.023502042,0.6325,1.309544928,0.5138889
75,1.000579314,0.65,1.353965382,0.5173611
76,1.022352886,0.64375,1.425276697,0.4861111
77,1.06359993,0.6325,1.345515953,0.5243056
78,0.988007882,0.66375,1.403174857,0.5104167
79,1.074175844,0.60875,1.407982389,0.5
80,1.072875924,0.61125,1.368392981,0.5086806
81,1.026201413,0.6575,1.402161462,0.484375
82,1.025274596,0.63375,1.453241726,0.5069444
83,1.014989154,0.645,1.3546953,0.5295139
84,1.046809866,0.61875,1.318283263,0.5399306
85,0.989452527,0.64375,1.404140615,0.5034722
86,0.994775264,0.6625,1.409906712,0.4965278
87,1.044712231,0.61625,1.353574415,0.5243056
88,1.014507127,0.64375,1.361935672,0.5121528
89,1.00298682,0.6625,1.340758171,0.53125
90,1.005206504,0.66375,1.355212622,0.5364583
91,1.007136798,0.645,1.373407854,0.5069444
92,1.049888961,0.61625,1.371153358,0.5
93,1.002361188,0.65375,1.36051926,0.5086806
94,0.990521011,0.65375,1.342804058,0.5104167
95,0.991690035,0.615,1.351393468,0.5208333
96,1.000695674,0.64875,1.359280722,0.5260417
97,0.9995421,0.65,1.342420624,0.5260417
98,0.970098968,0.6625,1.330272979,0.5086806
99,0.98853811,0.665,1.360842698,0.5104167
