epoch,loss,accuracy,val_loss,val_accuracy
0,1.7942713212966919,0.4175,3.012697312566969,0.098958336
1,1.3752550959587098,0.57125,2.875544230143229,0.16840278
2,1.055944082736969,0.6925,2.838060153855218,0.18055555
3,0.9670429921150208,0.7075,2.6971571577919855,0.18402778
4,0.7893556785583496,0.765,2.258344676759508,0.3315972
5,0.7924093282222748,0.77125,1.8831294510099623,0.4565972
6,0.6724499559402466,0.80625,2.1785156064563327,0.36979166
7,0.643741512298584,0.82,1.5141554805967543,0.546875
8,0.5334287536144257,0.87,2.1196757091416254,0.4357639
9,0.490883309841156,0.8675,1.6676288975609674,0.5538194
10,0.41775632262229917,0.89375,1.2966900401645236,0.640625
11,0.35322032928466796,0.91375,1.2697616782453325,0.6232639
12,0.2813605654239655,0.9325,1.1699511077668932,0.7048611
13,0.26422082901000976,0.95,1.4514904916286469,0.6475694
14,0.2725381529331207,0.94375,1.2006569703420003,0.6909722
15,0.2472671902179718,0.94875,1.2344749437438116,0.6423611
16,0.23434720784425736,0.95375,1.490875482559204,0.6545139
17,0.1928933882713318,0.97625,1.1560508410135906,0.7048611
18,0.19839742690324783,0.9725,1.2844381597306993,0.6944444
19,0.1858546057343483,0.9725,1.2664375222391553,0.7083333
20,0.1512790885567665,0.98375,1.1506396035353343,0.7083333
21,0.1652356293797493,0.9775,1.0344554682572682,0.7447917
22,0.1895751479268074,0.97,1.9194313420189753,0.6267361
23,0.15124198019504548,0.98625,1.268550071451399,0.7048611
24,0.126528103351593,0.9925,1.2846176028251648,0.6822917
25,0.12348989635705948,0.99,1.4761458502875433,0.6753472
26,0.1268383526802063,0.99125,1.1518741349379222,0.7482639
27,0.1254492488503456,0.9875,1.2497312029202778,0.7239583
28,0.13339613139629364,0.98875,1.1231263677279155,0.7395833
29,0.12285003244876862,0.99,1.2530425753858354,0.7239583
30,0.10447466790676117,0.995,1.1525014804469214,0.7569444
31,0.11914491325616837,0.99,1.1854615310827892,0.7465278
32,0.10612975150346755,0.9975,1.2606668174266815,0.7309028
33,0.11533830255270004,0.9925,1.2015344103177388,0.7326389
34,0.11128331333398819,0.995,1.1248508046070735,0.7430556
35,0.11539345622062683,0.99375,1.1501024530993567,0.7552083
36,0.10262809485197068,0.9975,1.400580174393124,0.7170139
37,0.09714967489242554,1.0,1.2274726099438138,0.7447917
38,0.10462031215429306,0.99375,1.3039430114958022,0.7204861
39,0.10456445664167405,0.99625,1.2273763567209244,0.7309028
40,0.0959956979751587,0.99875,1.1809730033079784,0.75
41,0.096890027821064,0.99875,1.188878865705596,0.7430556
42,0.09959413081407548,0.99625,1.1789733833736844,0.7534722
43,0.11039433419704438,0.99125,1.2619640909963183,0.7274306
44,0.09946540087461471,0.99375,1.382421566380395,0.7083333
45,0.10924700021743775,0.99625,1.2952425943480597,0.7309028
46,0.10173516720533371,0.9975,1.244666748576694,0.7482639
47,0.10560263156890869,0.99625,1.3190170062912836,0.7274306
48,0.09713004291057586,0.99875,1.2735699547661676,0.7430556
49,0.10037668019533158,0.9925,1.2689516709910498,0.7361111
50,0.09097327679395675,1.0,1.2026733424928453,0.7604167
51,0.09158891290426255,1.0,1.2307978206210666,0.75
52,0.0935264202952385,0.9975,1.2002499633365207,0.7517361
53,0.08979542136192321,1.0,1.2170804805225797,0.7447917
54,0.09360392391681671,0.9975,1.1822434961795807,0.7482639
55,0.09350641518831253,0.99875,1.2432227730751038,0.7465278
56,0.09293799370527267,0.99875,1.2368705852164164,0.75
57,0.10078819662332535,0.9975,1.2773759580320783,0.7430556
58,0.0892755314707756,1.0,1.2304439958598878,0.7552083
59,0.09260999172925949,0.99625,1.2401283582051594,0.7517361
60,0.09823565989732742,0.995,1.284459994898902,0.7447917
61,0.09386534124612808,0.99625,1.2799867159790463,0.7430556
62,0.08871062994003295,1.0,1.2553111066420872,0.7517361
63,0.09322289794683457,0.99875,1.2863684313164816,0.7586806
64,0.08990012556314468,0.99875,1.3210073279009924,0.7534722
65,0.09268161028623581,0.9975,1.3438182986444898,0.7569444
66,0.09136469542980194,0.99875,1.3430205898152456,0.75
67,0.08964423269033432,0.99875,1.3421183427174885,0.7465278
68,0.09006955236196518,1.0,1.3112173709604475,0.7465278
69,0.08693725705146789,1.0,1.302640587091446,0.75
70,0.09451227605342866,0.99625,1.4491737816068861,0.7083333
71,0.08984260201454163,1.0,1.388011121087604,0.7083333
72,0.08827330142259598,0.99875,1.2923774586783514,0.7517361
73,0.08633967489004135,1.0,1.3093991196817822,0.7517361
74,0.08922803789377212,0.99875,1.316698796219296,0.7534722
75,0.0918834438920021,0.9975,1.3110860188802083,0.7482639
76,0.0865778324007988,1.0,1.3096066928572125,0.7413194
77,0.10125697702169419,0.99375,1.388585564162996,0.7482639
78,0.09159278988838196,0.99875,1.416907611820433,0.7291667
79,0.09272325485944748,0.9975,1.296461006005605,0.7378472
80,0.08921692997217179,0.99875,1.3355181448989444,0.7482639
81,0.08612770706415177,1.0,1.3309756186273363,0.7604167
82,0.0874892783164978,1.0,1.355394270684984,0.7482639
83,0.08725111126899719,1.0,1.3277771953079436,0.7517361
84,0.08784839183092118,1.0,1.3805460466278925,0.7378472
85,0.08557360291481018,1.0,1.36646592285898,0.7465278
86,0.08571240752935409,1.0,1.3548434492614534,0.7447917
87,0.08809511214494706,0.99875,1.368532548348109,0.734375
88,0.08531472563743592,1.0,1.3440243502457936,0.75
89,0.09785335212945938,0.99625,1.3525815308094025,0.7222222
90,0.09187062293291091,0.99875,1.397421075238122,0.7326389
91,0.08966663986444473,0.99875,1.404250572125117,0.7291667
92,0.08884154945611954,1.0,1.3784672187434301,0.7465278
93,0.08558849781751633,1.0,1.3647762835025787,0.7569444
94,0.08687807619571686,1.0,1.3376824888918135,0.7534722
95,0.08617737501859665,1.0,1.3473627898428175,0.7621528
96,0.08587238609790802,1.0,1.3385072847207387,0.7604167
97,0.09334660530090332,0.99625,1.332417059275839,0.75
98,0.08792030155658721,1.0,1.3205560661024518,0.75
99,0.08780918538570404,1.0,1.3420102000236511,0.7552083
