epoch,loss,accuracy,val_loss,val_accuracy,sparse_categorical_crossentropy
1,10.357075386047363,0.11125,10.069056987762451,0.11111111,2.3023365
2,9.81422607421875,0.095,9.544157558017307,0.098958336,2.3024986
3,9.305632400512696,0.11,9.05372593137953,0.121527776,2.302018
4,8.831758346557617,0.0975,8.596374776628283,0.09548611,2.3024812
5,8.388797225952148,0.10625,8.169267972310385,0.11631945,2.3023462
6,7.974743785858155,0.12375,7.770457612143622,0.10763889,2.3017533
7,7.589049263000488,0.105,7.398070865207249,0.12326389,2.3020813
8,7.228613109588623,0.10125,7.050393237007989,0.105902776,2.3020997
9,6.8915841674804685,0.11125,6.72581672668457,0.105902776,2.3016467
10,6.577306461334229,0.1375,6.422596825493707,0.098958336,2.301586
11,6.283889350891113,0.12,6.139987018373278,0.098958336,2.3014524
12,6.00939395904541,0.1025,5.876111931271023,0.11631945,2.3007243
13,5.7538991546630855,0.145,5.630237897237142,0.098958336,2.3006337
14,5.515301780700684,0.11875,5.400882058673435,0.098958336,2.3001797
15,5.292686347961426,0.15625,5.187026262283325,0.097222224,2.299588
16,5.085152950286865,0.13625,4.9877026081085205,0.090277776,2.2989805
17,4.891107101440429,0.15375,4.802476856443617,0.098958336,2.2977095
18,4.7108839416503905,0.1525,4.630223565631443,0.112847224,2.2969265
19,4.5433220863342285,0.14625,4.469905058542888,0.104166664,2.2961917
20,4.38500789642334,0.16625,4.321158594555325,0.105902776,2.2929533
21,4.2394140625,0.14875,4.183184093899197,0.114583336,2.2915978
22,4.101578407287597,0.1625,4.055878427293566,0.105902776,2.2871408
23,3.976631212234497,0.15375,3.938408507241143,0.104166664,2.285921
24,3.8605148124694826,0.14125,3.8298173745473227,0.065972224,2.284406
25,3.750201406478882,0.12625,3.7295952108171253,0.090277776,2.2803643
26,3.6482537174224854,0.155,3.6361711819966636,0.112847224,2.2764199
27,3.5488610553741453,0.17125,3.557822651333279,0.09548611,2.2670746
28,3.453860015869141,0.18375,3.478826469845242,0.109375,2.2547626
29,3.364691677093506,0.20375,3.4185982280307345,0.098958336,2.2414832
30,3.2836248111724853,0.1875,3.359579020076328,0.1267361,2.2288234
31,3.2280006313323977,0.18625,3.299501895904541,0.12326389,2.236352
32,3.149814414978027,0.2075,3.272575749291314,0.07986111,2.217016
33,3.070457992553711,0.20125,3.2336150805155435,0.11805555,2.1907353
34,2.993065061569214,0.24375,3.226304769515991,0.07986111,2.1618207
35,2.965001277923584,0.1875,3.1638387309180365,0.1388889,2.1780627
36,2.903869934082031,0.21,3.1461976634131537,0.13715278,2.1589968
37,2.8435815143585206,0.1975,3.1391156911849976,0.1388889,2.1367834
38,2.805627212524414,0.21,3.120317300160726,0.13020833,2.1341853
39,2.7716747093200684,0.22625,3.0990054607391357,0.09201389,2.1340284
40,2.7307464408874513,0.24875,3.094519164827135,0.078125,2.1242883
41,2.6777442932128905,0.24375,3.0992082489861383,0.090277776,2.0983818
42,2.6693467903137207,0.2325,3.0682053433524237,0.053819444,2.1147642
43,2.5888601684570314,0.25875,3.0769271320766873,0.055555556,2.0585558
44,2.6013380432128907,0.24625,3.072468121846517,0.057291668,2.092581
45,2.569244909286499,0.24625,3.078683932622274,0.07638889,2.0806613
46,2.548265142440796,0.245,3.0646998617384167,0.090277776,2.079123
47,2.56162335395813,0.22,2.992791944079929,0.03125,2.1107535
48,2.539468593597412,0.25125,3.0075204504860773,0.060763888,2.1060112
49,2.50372878074646,0.23,3.017437709702386,0.07638889,2.0841258
50,2.4925347900390626,0.265,2.9956154690848456,0.07118055,2.0878713
51,2.4609178161621093,0.25,2.993320001496209,0.07986111,2.0695875
52,2.4629716587066652,0.2475,2.987086958355374,0.08680555,2.0837789
53,2.392182083129883,0.255,2.997912155257331,0.09548611,2.024634
54,2.390602807998657,0.23625,3.007057785987854,0.097222224,2.0321946
55,2.3953451538085937,0.245,3.0343412160873413,0.09201389,2.0454667
56,2.3780006694793703,0.2875,3.0393828418519764,0.072916664,2.0363743
57,2.3572853565216065,0.27,3.0182339747746787,0.08506945,2.024781
