epoch,loss,accuracy,val_loss,val_accuracy
0,1.9916186332702637,0.40625,3.037550277180142,0.2621528
1,1.3431154870986939,0.6575,4.432716780238682,0.24479167
2,1.1741744089126587,0.69625,2.585749864578247,0.3263889
3,1.1108390402793884,0.72625,3.2407473458184137,0.30381945
4,0.8994411134719849,0.78625,2.531427092022366,0.3940972
5,0.8276171135902405,0.81375,2.672820727030436,0.453125
6,0.7593067908287048,0.8475,2.03711771302753,0.5381944
7,0.6896780610084534,0.8675,4.715673142009312,0.32291666
8,0.6448103356361389,0.875,1.5838717354668512,0.6024306
9,0.5909310948848724,0.8925,2.119992130332523,0.5451389
10,0.5112375068664551,0.92,2.032459470960829,0.53125
11,0.4799985861778259,0.92875,1.4950775371657476,0.671875
12,0.37415035367012023,0.96875,1.12661878267924,0.7569444
13,0.3897736644744873,0.95875,1.2204944392045338,0.7465278
14,0.38223005533218385,0.97,1.1423829992612202,0.7569444
15,0.430393363237381,0.94875,1.8349058098263211,0.6545139
16,0.3657859241962433,0.97625,1.307998153898451,0.7291667
17,0.4030809199810028,0.9675,1.2496248417430453,0.7326389
18,0.39607924342155454,0.9675,1.1964697473578982,0.7708333
19,0.31540989875793457,0.98875,1.325666755437851,0.7569444
20,0.3267439329624176,0.9825,1.1359992656442854,0.7621528
21,0.331511504650116,0.98375,1.231280826860004,0.7795139
22,0.34388030886650084,0.97375,1.6963698532846239,0.7204861
23,0.3398498475551605,0.9775,1.5948986576663122,0.7378472
24,0.30752436876296996,0.99,1.1700523727469974,0.7899306
25,0.3074829304218292,0.99,1.1888747645748987,0.7708333
26,0.29227147340774534,0.99625,1.2738267481327057,0.7760417
27,0.2988559353351593,0.995,1.158433049917221,0.8020833
28,0.30063400983810423,0.99375,1.177455531226264,0.7829861
29,0.2971088624000549,0.99375,1.1822878155443404,0.7916667
30,0.2927218413352966,0.9975,1.2956312199433644,0.8142361
31,0.307185994386673,0.9925,1.746097034878201,0.703125
32,0.29026750087738035,0.99875,1.301703413327535,0.7760417
33,0.2922846865653992,0.99625,1.2057298554314508,0.7864583
34,0.3027836167812347,0.9925,1.1014861265818279,0.8194444
35,0.29174713134765623,0.99625,1.099731034702725,0.8298611
36,0.2859982562065124,0.9975,1.1808288627200656,0.8090278
37,0.28753068566322326,0.9975,1.1551267670260534,0.8177083
38,0.2952085244655609,0.99625,1.05739446149932,0.828125
39,0.2885520899295807,0.995,1.2255166471004486,0.7743056
40,0.28711804628372195,0.9975,1.2489648527569241,0.7621528
41,0.2867399728298187,0.99875,1.2402125994364421,0.8055556
42,0.29345154881477353,0.99625,1.1723931299315558,0.796875
43,0.2892529273033142,0.995,1.1105696393383875,0.8072917
44,0.2841283977031708,0.9975,1.6133703920576308,0.7517361
45,0.2853181993961334,0.99625,1.1856878002484639,0.7951389
46,0.28406110644340515,1.0,1.0437708099683125,0.8315972
47,0.28540279388427736,0.99625,1.302372740374671,0.7725694
48,0.28434550762176514,0.99875,1.0355839000807867,0.8194444
49,0.2827887010574341,0.99875,1.109831343094508,0.8246528
50,0.2922434020042419,0.9925,1.2942563494046528,0.7899306
51,0.28145635008811953,1.0,1.17397251062923,0.8107639
52,0.28275195598602293,0.99875,1.1068633132510715,0.8229167
53,0.2844635844230652,0.99625,1.1270385682582855,0.8177083
54,0.28138669848442077,0.99625,1.12959732943111,0.8194444
55,0.28177515625953675,1.0,1.338401488131947,0.7916667
56,0.2804060900211334,1.0,1.287131980061531,0.7951389
57,0.2803724181652069,0.99875,1.2412141097916498,0.8211806
58,0.27822712182998655,1.0,1.1947737733523052,0.828125
59,0.28076422214508057,1.0,1.2201570338673062,0.8263889
60,0.28174110054969786,1.0,1.3412775761551328,0.8159722
61,0.2809231674671173,1.0,1.3170550829834409,0.8020833
62,0.278919163942337,1.0,1.1408874210384157,0.8177083
63,0.27832475304603577,1.0,1.201035565800137,0.8315972
64,0.27847317814826966,1.0,1.1575626068645053,0.8333333
65,0.2777203333377838,1.0,1.1421146276924345,0.8263889
66,0.2801173937320709,0.99875,1.2810790969265833,0.7899306
67,0.2784094512462616,1.0,1.2005830705165863,0.8125
68,0.28193933725357057,0.99875,1.1719800697432623,0.8298611
69,0.2802610397338867,0.99875,1.227277119954427,0.8350694
70,0.2796344125270844,1.0,1.2109218024545245,0.828125
71,0.2779579186439514,1.0,1.1975773324569066,0.8350694
72,0.2793695759773254,1.0,1.2629623644881778,0.8211806
73,0.27992021560668945,0.99875,1.17544144557582,0.8246528
74,0.27851940751075743,1.0,1.150859523150656,0.828125
75,0.2804660880565643,0.99875,1.3300332691934373,0.8038194
76,0.28201592206954956,0.9975,1.344033643603325,0.7951389
77,0.27750973343849183,1.0,1.2665251129203372,0.8107639
